0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:37:58 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:38:00 +0530] "GET /Reboot/getAllCategory HTTP/1.1" 200 4585
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:38:00 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:47:34 +0530] "GET /Reboot/getAllCategory HTTP/1.1" 200 4585
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:47:36 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
127.0.0.1 - - [14/Nov/2016:14:09:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:19 +0530] "GET /Reboot/ HTTP/1.1" 200 7815
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:20 +0530] "GET /Reboot/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:20 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:20 +0530] "GET /Reboot/images/img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:20 +0530] "GET /Reboot/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:20 +0530] "GET /Reboot/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:20 +0530] "GET /Reboot/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:20 +0530] "GET /Reboot/images/img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:20 +0530] "GET /Reboot/images/img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:20 +0530] "GET /Reboot/images/img8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:20 +0530] "GET /Reboot/images/img9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:21 +0530] "GET /Reboot/images/img10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:14:09:29 +0530] "GET /Reboot/ HTTP/1.1" 200 7815
